Player,Nation,Pos,Squad,Comp,Age,Born,GCA,GCA90,Won,Lost,npxG+xAG,Att,Succ,SoT,FK,Sh,Gls,Ast,PrgC,PrgP,PrgR,G+A,SCA,SCA90,90s,TklW,Blocks,Int,Clr,Prgc,G+A,Tkl%,Crs,Att,Succ,Won
Pape Gueye,fr FRA,"MF,DF",Marseille,fr Ligue 1,21,2002,,,,,,,,,,,,,77,57,164,0.38,88,4.87,,,,,,,,,,,,
Pape Matar Sarr,de GER,MF,Tottenham,eng Premier League,18,2005,,,,,,,,,,,,,7,4,9,0.76,1,1.41,,,,,,,,,,,,
Papu G¢mez,ch SUI,"MF,FW",Monza,it Serie A,22,2001,,,,,,,,,,,,,6,12,10,0,36,1.52,,,,,,,,,,,,
Pascal Groá,de GER,"MF,DF",Brighton,eng Premier League,36,1987,,,,,,,,,,,,,15,46,17,0.07,9,1.82,,,,,,,,,,,,
Path‚ Ciss,es ESP,MF,Rayo Vallecano,es La Liga,26,1996,,,,,,,,,,,,,16,88,22,0.34,8,5.37,,,,,,,,,,,,
Patrick Osterhage,ba BIH,MF,Bochum,de Bundesliga,26,1996,,,,,,,,,,,,,5,6,6,0,37,2.05,,,,,,,,,,,,
Paul Akouokou,au AUS,MF,Betis,es La Liga,18,2005,,,,,,,,,,,,,0,0,0,0,13,2.52,,,,,,,,,,,,
Paul Akouokou,sn SEN,MF,Lyon,fr Ligue 1,29,1994,,,,,,,,,,,,,20,143,19,0.11,9,1.9,,,,,,,,,,,,
Paul Pogba,at AUT,MF,Juventus,it Serie A,29,1993,,,,,,,,,,,,,61,85,74,0.17,61,2.68,,,,,,,,,,,,
Paxten Aaronson,eng ENG,MF,Eint Frankfurt,de Bundesliga,21,2002,,,,,,,,,,,,,0,21,2,0,100,2.79,,,,,,,,,,,,
Pedri,nl NED,"MF,FW",Barcelona,es La Liga,27,1996,,,,,,,,,,,,,4,11,6,0.2,5,2.18,,,,,,,,,,,,
Pedro Chirivella,it ITA,MF,Nantes,fr Ligue 1,27,1996,,,,,,,,,,,,,1,19,5,0.4,26,2.45,,,,,,,,,,,,
Pedro Obiang,it ITA,MF,Sassuolo,it Serie A,31,1991,,,,,,,,,,,,,3,5,0,0,0,0,,,,,,,,,,,,
Pelly Ruddock Mpanzu,eng ENG,MF,Luton Town,eng Premier League,18,2005,,,,,,,,,,,,,0,0,1,0,0,0,,,,,,,,,,,,
Pep Biel,pt POR,"MF,FW",Augsburg,de Bundesliga,25,1998,,,,,,,,,,,,,12,47,12,0,55,3.32,,,,,,,,,,,,
Pep¡n,ve VEN,"MF,FW",Monza,it Serie A,26,1996,,,,,,,,,,,,,42,162,72,0.09,21,2.4,,,,,,,,,,,,
Peter Federico,rs SRB,"MF,FW",Valencia,es La Liga,25,1998,,,,,,,,,,,,,1,3,2,0,2,3.75,,,,,,,,,,,,
Philip Billing,fr FRA,MF,Bournemouth,eng Premier League,28,1995,,,,,,,,,,,,,66,176,71,0.52,1,5.63,,,,,,,,,,,,
Philipp F”rster,ht HAI,"MF,FW",Bochum,de Bundesliga,31,1992,,,,,,,,,,,,,22,115,118,0.22,50,1.68,,,,,,,,,,,,
Philippe Coutinho,it ITA,"MF,FW",Aston Villa,eng Premier League,32,1990,,,,,,,,,,,,,71,224,116,0.42,23,1.52,,,,,,,,,,,,
Pierre H?jbjerg,br BRA,MF,Tottenham,eng Premier League,33,1990,,,,,,,,,,,,,14,94,15,0.08,48,2.41,,,,,,,,,,,,
Pierre Lees-Melou,es ESP,MF,Brest,fr Ligue 1,31,1992,,,,,,,,,,,,,63,119,221,0.49,79,2.76,,,,,,,,,,,,
Piotr Zieli?ski,it ITA,MF,Napoli,it Serie A,18,2004,,,,,,,,,,,,,0,0,1,0,19,5.14,,,,,,,,,,,,
Portu,eng ENG,"MF,FW",Girona,es La Liga,34,1989,,,,,,,,,,,,,15,44,46,0.33,0,0,,,,,,,,,,,,
Przemys?aw Szymi?ski,ro ROU,MF,Frosinone,it Serie A,29,1994,,,,,,,,,,,,,6,35,15,0,52,2.32,,,,,,,,,,,,
R?zvan Marin,pt POR,MF,Empoli,it Serie A,32,1991,,,,,,,,,,,,,10,17,8,0,12,2.42,,,,,,,,,,,,
Rabby Nzingoula,es ESP,"MF,FW",Strasbourg,fr Ligue 1,22,2001,,,,,,,,,,,,,12,68,29,0.2,99,3.41,,,,,,,,,,,,
Rade Kruni?,es ESP,MF,Milan,it Serie A,33,1990,,,,,,,,,,,,,32,290,29,0.38,61,3.79,,,,,,,,,,,,
Ram¢n Terrats,es ESP,"MF,DF",Villarreal,es La Liga,27,1996,,,,,,,,,,,,,1,0,0,11.25,3,0.36,,,,,,,,,,,,
Rani Khedira,es ESP,MF,Union Berlin,de Bundesliga,24,1999,,,,,,,,,,,,,17,64,66,0.54,25,3.77,,,,,,,,,,,,
Rassoul Ndiaye,es ESP,"MF,FW",Le Havre,fr Ligue 1,21,2002,,,,,,,,,,,,,21,75,35,0.07,8,2.79,,,,,,,,,,,,
Rayan Cherki,ru RUS,"MF,FW",Lyon,fr Ligue 1,25,1997,,,,,,,,,,,,,27,46,73,0.3,72,3.1,,,,,,,,,,,,
Reda Belahyane,jp JPN,MF,Hellas Verona,it Serie A,23,2000,,,,,,,,,,,,,3,13,7,0,47,2.74,,,,,,,,,,,,
Reda Belahyane,eng ENG,MF,Nice,fr Ligue 1,20,2002,,,,,,,,,,,,,0,1,0,0,36,2.78,,,,,,,,,,,,
Reinier,it ITA,"MF,FW",Frosinone,it Serie A,26,1997,,,,,,,,,,,,,30,74,43,0.44,35,4.9,,,,,,,,,,,,
Remi Oudin,ve VEN,"MF,FW",Lecce,it Serie A,22,2000,,,,,,,,,,,,,19,45,28,0.26,37,1.71,,,,,,,,,,,,
Remo Freuler,pt POR,MF,Bologna,it Serie A,23,2000,,,,,,,,,,,,,16,36,23,0,10,1.71,,,,,,,,,,,,
Renato Sanches,fr FRA,MF,Roma,it Serie A,23,2000,,,,,,,,,,,,,26,64,65,0.15,52,2.69,,,,,,,,,,,,
Renato Tapia,eng ENG,"MF,DF",Celta Vigo,es La Liga,19,2004,,,,,,,,,,,,,14,105,14,0.29,109,3.14,,,,,,,,,,,,
Riccardo Pagano,eng ENG,"MF,DF",Roma,it Serie A,22,2001,,,,,,,,,,,,,0,0,4,0,0,0,,,,,,,,,,,,
Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,28,1995,,,,,,,,,,,,,35,96,60,0.38,5,1.8,,,,,,,,,,,,
Roberto Gagliardini,at AUT,"MF,DF",Monza,it Serie A,21,2002,,,,,,,,,,,,,41,110,58,0.38,45,3.5,,,,,,,,,,,,
Roberto Navarro,dk DEN,"MF,FW",C diz,es La Liga,32,1990,,,,,,,,,,,,,3,11,4,0,63,2.26,,,,,,,,,,,,
Rocco Reitz,de GER,MF,Gladbach,de Bundesliga,26,1997,,,,,,,,,,,,,0,1,0,0,1,11.25,,,,,,,,,,,,
Rodri,dk DEN,MF,Manchester City,eng Premier League,25,1998,,,,,,,,,,,,,20,106,43,0.14,46,3.63,,,,,,,,,,,,
Rodrigo Bentancur,ie IRL,MF,Tottenham,eng Premier League,29,1994,,,,,,,,,,,,,6,15,9,0,79,3.56,,,,,,,,,,,,
Rodrigo De Paul,it ITA,MF,Atl‚tico Madrid,es La Liga,24,1999,,,,,,,,,,,,,16,72,32,0.18,0,0,,,,,,,,,,,,
Rodrigo Ribeiro,sn SEN,"MF,FW",Nott'ham Forest,eng Premier League,26,1997,,,,,,,,,,,,,20,68,36,0.11,8,3.4,,,,,,,,,,,,
Roland Sallai,ml MLI,"MF,FW",Freiburg,de Bundesliga,24,1998,,,,,,,,,,,,,49,143,46,0.19,23,2.25,,,,,,,,,,,,
Rolando Mandragora,br BRA,MF,Fiorentina,it Serie A,24,1998,,,,,,,,,,,,,3,8,10,0,4,14.4,,,,,,,,,,,,
Rom‚o Lavia,tn TUN,MF,Chelsea,eng Premier League,22,2001,,,,,,,,,,,,,2,7,3,0,0,0,,,,,,,,,,,,
Romain Faivre,br BRA,"MF,FW",Bournemouth,eng Premier League,22,2001,,,,,,,,,,,,,37,220,71,0.2,41,1.86,,,,,,,,,,,,
Romain Faivre,eng ENG,"MF,FW",Lorient,fr Ligue 1,18,2004,,,,,,,,,,,,,18,46,27,0.18,9,3.57,,,,,,,,,,,,
Romano Schmid,es ESP,"MF,FW",Werder Bremen,de Bundesliga,27,1995,,,,,,,,,,,,,14,105,14,0.16,37,3.06,,,,,,,,,,,,
Rominigue Kouam‚,es ESP,MF,C diz,es La Liga,20,2003,,,,,,,,,,,,,138,224,306,0.83,9,1.14,,,,,,,,,,,,
Ross Barkley,uy URU,MF,Luton Town,eng Premier League,28,1994,,,,,,,,,,,,,17,33,64,0.56,22,1.74,,,,,,,,,,,,
Rub‚n Alcaraz,cm CMR,MF,C diz,es La Liga,21,2002,,,,,,,,,,,,,14,13,33,0.98,0,0,,,,,,,,,,,,
Rub‚n Sobrino,cm CMR,"MF,FW",C diz,es La Liga,27,1996,,,,,,,,,,,,,12,26,48,0.31,17,1.15,,,,,,,,,,,,
Ruben Loftus-Cheek,ar ARG,MF,Milan,it Serie A,25,1998,,,,,,,,,,,,,15,44,41,0,6,1.42,,,,,,,,,,,,
Ruben Vargas,es ESP,"MF,FW",Augsburg,de Bundesliga,28,1995,,,,,,,,,,,,,7,86,39,0.28,29,3.38,,,,,,,,,,,,
Ruslan Malinovskyi,es ESP,MF,Genoa,it Serie A,25,1998,,,,,,,,,,,,,28,78,69,0.36,36,3.18,,,,,,,,,,,,
Ryan Christie,eng ENG,MF,Bournemouth,eng Premier League,33,1990,,,,,,,,,,,,,17,6,24,0.85,0,0,,,,,,,,,,,,
Ryan Gravenberch,eng ENG,MF,Liverpool,eng Premier League,25,1998,,,,,,,,,,,,,22,40,39,0.13,1,0.6,,,,,,,,,,,,
Ryan Yates,es ESP,MF,Nott'ham Forest,eng Premier League,28,1994,,,,,,,,,,,,,14,106,51,0.07,69,3.79,,,,,,,,,,,,
Sa?a Luki?,it ITA,MF,Fulham,eng Premier League,18,2004,,,,,,,,,,,,,9,22,13,0,82,2.24,,,,,,,,,,,,
Sa‹mon Bouabr‚,br BRA,MF,Monaco,fr Ligue 1,34,1989,,,,,,,,,,,,,23,21,71,0.5,143,3.94,,,,,,,,,,,,
Sa£l ¥¡guez,pt POR,MF,Atl‚tico Madrid,es La Liga,25,1998,,,,,,,,,,,,,3,16,5,0,210,6.06,,,,,,,,,,,,
Sacha Delaye,uy URU,"MF,FW",Montpellier,fr Ligue 1,19,2004,,,,,,,,,,,,,7,7,16,0,8,2.9,,,,,,,,,,,,
Salih ™zcan,br BRA,MF,Dortmund,de Bundesliga,19,2004,,,,,,,,,,,,,19,50,9,0,5,2.38,,,,,,,,,,,,
Salim El Jebari,us USA,MF,Atl‚tico Madrid,es La Liga,19,2004,,,,,,,,,,,,,1,3,1,0,53,3.76,,,,,,,,,,,,
Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,18,2004,,,,,,,,,,,,,0,1,0,0,7,3.68,,,,,,,,,,,,
Salvi,de GER,MF,Rayo Vallecano,es La Liga,25,1998,,,,,,,,,,,,,6,57,6,0,103,5.65,,,,,,,,,,,,
Samu Costa,es ESP,MF,Mallorca,es La Liga,23,2000,,,,,,,,,,,,,9,32,9,0.16,101,3.77,,,,,,,,,,,,
Samuel Grandsir,fr FRA,"MF,FW",Le Havre,fr Ligue 1,27,1995,,,,,,,,,,,,,43,163,139,0.06,29,1.14,,,,,,,,,,,,
Samuel Moutoussamy,ml MLI,MF,Nantes,fr Ligue 1,26,1996,,,,,,,,,,,,,0,5,1,0,13,1.43,,,,,,,,,,,,
Samuele Di Benedetto,fr FRA,MF,Stuttgart,de Bundesliga,27,1996,,,,,,,,,,,,,107,80,169,0.23,38,2.07,,,,,,,,,,,,
Samuele Ricci,ng NGA,MF,Torino,it Serie A,26,1996,,,,,,,,,,,,,3,2,8,0.8,2,0.86,,,,,,,,,,,,
Samuele Vignato,eng ENG,"MF,FW",Monza,it Serie A,20,2003,,,,,,,,,,,,,1,5,2,0,1,1.01,,,,,,,,,,,,
Sander Berge,sct SCO,MF,Burnley,eng Premier League,27,1996,,,,,,,,,,,,,1,3,1,0,69,2.93,,,,,,,,,,,,
Sandi Lovri?,fr FRA,MF,Udinese,it Serie A,21,2001,,,,,,,,,,,,,13,21,42,0.57,3,2.37,,,,,,,,,,,,
Sandro Tonali,bf BFA,MF,Newcastle Utd,eng Premier League,25,1997,,,,,,,,,,,,,0,1,0,0,16,2.54,,,,,,,,,,,,
Sanjin Prci?,pt POR,MF,Strasbourg,fr Ligue 1,25,1997,,,,,,,,,,,,,0,13,2,0,130,4.54,,,,,,,,,,,,
Santi Comesa¤a,tr TUR,MF,Villarreal,es La Liga,30,1992,,,,,,,,,,,,,11,10,12,0,8,3.64,,,,,,,,,,,,
Santiago Pierotti,ao ANG,"MF,FW",Lecce,it Serie A,23,2000,,,,,,,,,,,,,2,3,4,0,6,4.7,,,,,,,,,,,,
Scott McTominay,fr FRA,"MF,FW",Manchester Utd,eng Premier League,23,2000,,,,,,,,,,,,,12,21,19,0,3,0.94,,,,,,,,,,,,
Sean Longstaff,fr FRA,MF,Newcastle Utd,eng Premier League,18,2005,,,,,,,,,,,,,0,1,2,0,113,4.19,,,,,,,,,,,,
Sebastian Rode,fr FRA,MF,Eint Frankfurt,de Bundesliga,25,1997,,,,,,,,,,,,,5,44,7,0,49,1.72,,,,,,,,,,,,
Senne Lynen,es ESP,MF,Werder Bremen,de Bundesliga,24,1998,,,,,,,,,,,,,57,77,145,0.41,29,1.55,,,,,,,,,,,,
Sergi Altimira,es ESP,MF,Betis,es La Liga,25,1997,,,,,,,,,,,,,1,2,4,0,21,1.3,,,,,,,,,,,,
Sergi Can¢s,cv CPV,"MF,FW",Valencia,es La Liga,26,1996,,,,,,,,,,,,,27,107,23,0.17,8,3.4,,,,,,,,,,,,
Sergi Darder,hr CRO,MF,Mallorca,es La Liga,26,1997,,,,,,,,,,,,,26,125,55,0.04,17,1.24,,,,,,,,,,,,
Sergi Roberto,fr FRA,"MF,DF",Barcelona,es La Liga,31,1992,,,,,,,,,,,,,37,165,48,0.07,48,2.24,,,,,,,,,,,,
Sergio Arribas,de GER,"MF,FW",Almer¡a,es La Liga,27,1996,,,,,,,,,,,,,0,6,4,0,1,1.87,,,,,,,,,,,,
Sergio Ruiz,dz ALG,MF,Granada,es La Liga,21,2002,,,,,,,,,,,,,10,41,18,0.25,24,4.89,,,,,,,,,,,,
Shandon Baptiste,ma MAR,MF,Brentford,eng Premier League,27,1995,,,,,,,,,,,,,17,135,73,0.32,44,3.28,,,,,,,,,,,,
Silvan Hefti,nl NED,"MF,DF",Genoa,it Serie A,26,1997,,,,,,,,,,,,,25,73,45,0.12,17,1.93,,,,,,,,,,,,
Silvi Cl£a,nl NED,MF,Girona,es La Liga,30,1992,,,,,,,,,,,,,60,392,53,0.1,32,2.08,,,,,,,,,,,,
Simon Ebonog,fr FRA,MF,Le Havre,fr Ligue 1,17,2005,,,,,,,,,,,,,3,8,6,0.68,2,1.37,,,,,,,,,,,,
Simone Bastoni,ma MAR,"MF,DF",Empoli,it Serie A,25,1998,,,,,,,,,,,,,37,137,52,0.03,15,4.21,,,,,,,,,,,,
Simone Pafundi,fr FRA,MF,Udinese,it Serie A,28,1995,,,,,,,,,,,,,0,5,1,4.09,33,3.32,,,,,,,,,,,,
Skelly Alvero,be BEL,MF,Lyon,fr Ligue 1,30,1993,,,,,,,,,,,,,7,93,25,0,8,11.61,,,,,,,,,,,,
Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,29,1994,,,,,,,,,,,,,1,1,0,0,35,1.58,,,,,,,,,,,,
Sofiane Sidi Ali,,MF,Marseille,fr Ligue 1,26,1996,,,,,,,,,,,,,20,59,33,0.08,57,1.96,,,,,,,,,,,,
Sofyan Amrabat,be BEL,"MF,DF",Manchester Utd,eng Premier League,30,1993,,,,,,,,,,,,,10,34,15,0,11,0.86,,,,,,,,,,,,
Stanislav Lobotka,es ESP,MF,Napoli,it Serie A,21,2002,,,,,,,,,,,,,5,5,13,0.49,0,0,,,,,,,,,,,,
Stefan Bajcetic,il ISR,MF,Liverpool,eng Premier League,22,2000,,,,,,,,,,,,,18,15,19,0,0,0,,,,,,,,,,,,
Stefan Schimmer,be BEL,"MF,FW",Heidenheim,de Bundesliga,23,2000,,,,,,,,,,,,,6,8,10,0,4,2.24,,,,,,,,,,,,
Stefano Sensi,br BRA,MF,Inter,it Serie A,18,2005,,,,,,,,,,,,,0,1,1,0,72,3.27,,,,,,,,,,,,
Stijn Spierings,fr FRA,MF,Toulouse,fr Ligue 1,31,1992,,,,,,,,,,,,,5,5,2,0,19,1.85,,,,,,,,,,,,
Stijn Spierings,ru RUS,MF,Lens,fr Ligue 1,19,2004,,,,,,,,,,,,,12,8,12,0.39,58,4.25,,,,,,,,,,,,
Suat Serdar,de GER,MF,Hellas Verona,it Serie A,26,1996,,,,,,,,,,,,,29,56,60,0.21,66,5.92,,,,,,,,,,,,
Suso,be BEL,"MF,FW",Sevilla,es La Liga,21,2002,,,,,,,,,,,,,10,32,42,0.34,40,2.56,,,,,,,,,,,,
Sydie Peck,nl NED,MF,Sheffield Utd,eng Premier League,31,1992,,,,,,,,,,,,,12,112,36,0.14,18,2.72,,,,,,,,,,,,
Szymon ?urkowski,nl NED,MF,Empoli,it Serie A,32,1991,,,,,,,,,,,,,35,29,75,0.09,4,6.67,,,,,,,,,,,,
T‚ji Savanier,es ESP,MF,Montpellier,fr Ligue 1,19,2004,,,,,,,,,,,,,0,1,0,0,33,2.05,,,,,,,,,,,,
Tadeo Allende,es ESP,"MF,FW",Celta Vigo,es La Liga,22,2001,,,,,,,,,,,,,22,82,28,0.2,29,3.57,,,,,,,,,,,,
Tahith Chong,it ITA,"MF,FW",Luton Town,eng Premier League,26,1997,,,,,,,,,,,,,12,105,18,0,119,3.89,,,,,,,,,,,,
Takumi Minamino,es ESP,MF,Monaco,fr Ligue 1,24,1999,,,,,,,,,,,,,32,214,50,0.22,45,1.67,,,,,,,,,,,,
Tawanda Chirewa,cz CZE,"MF,FW",Wolves,eng Premier League,36,1987,,,,,,,,,,,,,5,24,7,0,30,3.34,,,,,,,,,,,,
Teddy Teuma,de GER,MF,Reims,fr Ligue 1,22,2001,,,,,,,,,,,,,28,101,44,0.1,7,3.71,,,,,,,,,,,,
Teun Koopmeiners,de GER,MF,Atalanta,it Serie A,25,1997,,,,,,,,,,,,,65,283,73,0.41,61,2.37,,,,,,,,,,,,
Theo Corbeanu,cg CGO,"MF,FW",Granada,es La Liga,25,1997,,,,,,,,,,,,,43,94,44,0.14,51,1.7,,,,,,,,,,,,
Thiago Alc ntara,hn HON,MF,Liverpool,eng Premier League,25,1998,,,,,,,,,,,,,60,168,50,0.42,2,1.94,,,,,,,,,,,,
Thomas Keller,fr FRA,"MF,FW",Heidenheim,de Bundesliga,26,1996,,,,,,,,,,,,,21,133,27,0.23,43,1.5,,,,,,,,,,,,
Thomas Lemar,es ESP,MF,Atl‚tico Madrid,es La Liga,27,1996,,,,,,,,,,,,,56,138,125,0.34,1,1.8,,,,,,,,,,,,
Thomas Mller,es ESP,"MF,FW",Bayern Munich,de Bundesliga,19,2004,,,,,,,,,,,,,0,0,0,0,23,3.96,,,,,,,,,,,,
Thomas Partey,de GER,"MF,DF",Arsenal,eng Premier League,19,2004,,,,,,,,,,,,,5,48,15,0.11,61,2.6,,,,,,,,,,,,
Tiemou‚ Bakayoko,tn TUN,MF,Lorient,fr Ligue 1,24,1999,,,,,,,,,,,,,8,66,21,0.03,12,2.58,,,,,,,,,,,,
Tijjani Reijnders,de GER,MF,Milan,it Serie A,28,1995,,,,,,,,,,,,,37,127,22,0.06,114,3.81,,,,,,,,,,,,
Tim Breithaupt,de GER,MF,Augsburg,de Bundesliga,25,1998,,,,,,,,,,,,,17,16,52,0.2,5,5.42,,,,,,,,,,,,
Tim Iroegbunam,fr FRA,MF,Aston Villa,eng Premier League,24,1998,,,,,,,,,,,,,16,96,13,0,69,4.51,,,,,,,,,,,,
Timothy Chandler,eng ENG,"MF,DF",Eint Frankfurt,de Bundesliga,23,2000,,,,,,,,,,,,,0,0,0,0,107,3.75,,,,,,,,,,,,
Tobias Kempe,fr FRA,MF,Darmstadt 98,de Bundesliga,27,1995,,,,,,,,,,,,,29,30,63,0.16,51,3.49,,,,,,,,,,,,
Tom Bischof,eng ENG,"MF,FW",Hoffenheim,de Bundesliga,18,2005,,,,,,,,,,,,,7,1,10,0,36,2.68,,,,,,,,,,,,
Tom Cairney,br BRA,MF,Fulham,eng Premier League,26,1997,,,,,,,,,,,,,23,128,46,0.44,19,2.06,,,,,,,,,,,,
Tom Davies,br BRA,MF,Sheffield Utd,eng Premier League,19,2003,,,,,,,,,,,,,23,52,62,0.32,2,22.5,,,,,,,,,,,,
Tom Krauá,mx MEX,MF,Mainz 05,de Bundesliga,32,1991,,,,,,,,,,,,,47,111,133,1.03,15,3.02,,,,,,,,,,,,
Tom Louchet,hr CRO,"MF,DF",Nice,fr Ligue 1,28,1995,,,,,,,,,,,,,0,3,2,0.76,135,5.53,,,,,,,,,,,,
Tom ? Sou?ek,cm CMR,MF,West Ham,eng Premier League,28,1995,,,,,,,,,,,,,0,2,0,0,89,2.88,,,,,,,,,,,,
Tom ? Suslov,br BRA,"MF,FW",Hellas Verona,it Serie A,19,2004,,,,,,,,,,,,,0,1,0,0,137,4.72,,,,,,,,,,,,
Tom s Mendes,de GER,MF,Alav‚s,es La Liga,24,1999,,,,,,,,,,,,,10,66,28,0.15,5,1.29,,,,,,,,,,,,
Toma Ba?i?,it ITA,MF,Salernitana,it Serie A,25,1998,,,,,,,,,,,,,13,45,14,0.06,0,0,,,,,,,,,,,,
Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,25,1998,,,,,,,,,,,,,9,26,21,0.45,0,0,,,,,,,,,,,,
Tommaso Pobega,it ITA,MF,Milan,it Serie A,21,2002,,,,,,,,,,,,,2,10,2,0.88,120,4.06,,,,,,,,,,,,
Tommy Doyle,pt POR,MF,Wolves,eng Premier League,19,2003,,,,,,,,,,,,,0,0,0,0,18,3.18,,,,,,,,,,,,
Toni Kroos,eng ENG,MF,Real Madrid,es La Liga,18,2005,,,,,,,,,,,,,1,2,1,5.63,9,0.86,,,,,,,,,,,,
Tosin Aiyegun,hu HUN,"MF,FW",Lorient,fr Ligue 1,18,2005,,,,,,,,,,,,,1,2,2,0,38,2.82,,,,,,,,,,,,
Tyler Adams,es ESP,MF,Bournemouth,eng Premier League,21,2001,,,,,,,,,,,,,21,107,39,0.09,30,2.63,,,,,,,,,,,,
Tyler Onyango,es ESP,MF,Everton,eng Premier League,23,1999,,,,,,,,,,,,,29,72,13,0.28,69,2.12,,,,,,,,,,,,
Umut Tohumcu,ma MAR,MF,Hoffenheim,de Bundesliga,18,2005,,,,,,,,,,,,,2,7,7,0,29,1.93,,,,,,,,,,,,
Unai G¢mez,ma MAR,MF,Athletic Club,es La Liga,20,2002,,,,,,,,,,,,,3,48,9,0,90,4.45,,,,,,,,,,,,
Unai L¢pez,ma MAR,MF,Rayo Vallecano,es La Liga,22,2001,,,,,,,,,,,,,35,93,29,0.17,52,5.22,,,,,,,,,,,,
Unai Ropero,be BEL,MF,Alav‚s,es La Liga,29,1993,,,,,,,,,,,,,5,24,3,0,56,2.41,,,,,,,,,,,,
Urko Gonz lez,ml MLI,MF,Real Sociedad,es La Liga,29,1993,,,,,,,,,,,,,0,5,0,0,6,1.14,,,,,,,,,,,,
Uro? Ra?i?,ml MLI,MF,Sassuolo,it Serie A,24,1999,,,,,,,,,,,,,6,14,27,0,41,2.42,,,,,,,,,,,,
Valentin Atangana Edoa,eng ENG,MF,Reims,fr Ligue 1,23,1999,,,,,,,,,,,,,36,47,86,0.47,0,0,,,,,,,,,,,,
Valentin Carboni,es ESP,"MF,FW",Monza,it Serie A,22,2000,,,,,,,,,,,,,71,161,142,0.42,17,3.21,,,,,,,,,,,,
Valentin Rongier,fr FRA,MF,Marseille,fr Ligue 1,29,1994,,,,,,,,,,,,,12,22,25,0.55,0,0,,,,,,,,,,,,
Valery Fern ndez,de GER,"MF,FW",Girona,es La Liga,30,1992,,,,,,,,,,,,,40,124,100,0.37,1,3.1,,,,,,,,,,,,
Viktor Kovalenko,gh GHA,MF,Empoli,it Serie A,25,1997,,,,,,,,,,,,,41,84,73,0.09,60,2.86,,,,,,,,,,,,
Viktor Tsyhankov,ar ARG,"MF,FW",Girona,es La Liga,23,2000,,,,,,,,,,,,,75,144,165,0.35,108,3.74,,,,,,,,,,,,
Vincent Sierro,fr FRA,MF,Toulouse,fr Ligue 1,29,1994,,,,,,,,,,,,,39,111,69,0.32,14,2.5,,,,,,,,,,,,
Vincenzo Grifo,fr FRA,"MF,FW",Freiburg,de Bundesliga,25,1997,,,,,,,,,,,,,73,230,45,0.18,31,1.7,,,,,,,,,,,,
Vinicius Souza,eng ENG,MF,Sheffield Utd,eng Premier League,22,2001,,,,,,,,,,,,,3,33,4,0.25,44,3.91,,,,,,,,,,,,
Vitaly Janelt,eng ENG,"MF,DF",Brentford,eng Premier League,29,1993,,,,,,,,,,,,,81,283,139,0.57,0,0,,,,,,,,,,,,
Vitinha,cz CZE,MF,Paris S-G,fr Ligue 1,24,1999,,,,,,,,,,,,,9,7,25,0.27,23,1.51,,,,,,,,,,,,
Walace,ng NGA,MF,Udinese,it Serie A,23,2000,,,,,,,,,,,,,64,103,180,0.65,12,7.77,,,,,,,,,,,,
Warren Bondo,es ESP,MF,Monza,it Serie A,18,2005,,,,,,,,,,,,,52,57,75,0.38,26,1.82,,,,,,,,,,,,
Warren Za‹re-Emery,es ESP,"MF,DF",Paris S-G,fr Ligue 1,25,1998,,,,,,,,,,,,,14,91,43,0.24,151,5.27,,,,,,,,,,,,
Wataru Endo,it ITA,MF,Liverpool,eng Premier League,35,1988,,,,,,,,,,,,,2,3,1,0,28,1.57,,,,,,,,,,,,
Weston McKennie,ru RUS,"MF,DF",Juventus,it Serie A,18,2004,,,,,,,,,,,,,3,6,2,0,81,6.19,,,,,,,,,,,,
Will Hughes,ru RUS,MF,Crystal Palace,eng Premier League,22,2001,,,,,,,,,,,,,4,5,20,0.9,102,4.28,,,,,,,,,,,,
William Carvalho,de GER,MF,Betis,es La Liga,29,1994,,,,,,,,,,,,,16,24,36,0.16,40,2.93,,,,,,,,,,,,
Wilson Odobert,es ESP,"MF,FW",Burnley,eng Premier League,20,2002,,,,,,,,,,,,,6,27,9,0.24,129,3.63,,,,,,,,,,,,
Xabier Huarte Armend riz,es ESP,MF,Osasuna,es La Liga,22,2001,,,,,,,,,,,,,10,155,24,0.03,0,0,,,,,,,,,,,,
Xaver Schlager,es ESP,MF,RB Leipzig,de Bundesliga,29,1994,,,,,,,,,,,,,73,202,55,0.35,8,5.26,,,,,,,,,,,,
Xavi Simons,es ESP,MF,RB Leipzig,de Bundesliga,25,1998,,,,,,,,,,,,,1,9,3,0,2,90,,,,,,,,,,,,
Yacine Adli,it ITA,MF,Milan,it Serie A,30,1993,,,,,,,,,,,,,4,66,14,0.16,24,1.19,,,,,,,,,,,,
Yangel Herrera,es ESP,MF,Girona,es La Liga,22,2001,,,,,,,,,,,,,52,210,54,0.2,1,3.21,,,,,,,,,,,,
Yanis Issoufou,be BEL,MF,Montpellier,fr Ligue 1,20,2003,,,,,,,,,,,,,0,7,4,0,27,1.86,,,,,,,,,,,,
Yann Gboho,tn TUN,"MF,FW",Toulouse,fr Ligue 1,27,1996,,,,,,,,,,,,,25,68,29,0.71,29,2.44,,,,,,,,,,,,
