Player,Nation,Pos,Squad,Comp,Age,Born,GCA,GCA90,Won,Lost,npxG+xAG,Att,Succ,SoT,FK,Sh,Gls,Ast,PrgC,PrgP,PrgR,G+A,SCA,SCA90,90s,TklW,Blocks,Int,Clr,Prgc,G+A,Tkl%,Crs,Att,Succ,Won
Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23-191,2001,0,0,8,19,4,25,11,6,0,22,2,3,,,,,,,,,,,,,,,,,,
Casper Tengstedt,dk DEN,FW,Hellas Verona,it Serie A,24-241,2000,3,0.21,17,54,4.9,24,9,10,0,35,6,1,,,,,,,,,,,,,,,,,,
Cédric Bakambu,cd COD,FW,Betis,es La Liga,33-292,1991,0,0,5,18,2.2,4,1,5,0,13,1,0,,,,,,,,,,,,,,,,,,
Che Adams,sct SCO,FW,Torino,it Serie A,28-199,1996,3,0.19,21,36,5.9,25,6,16,0,35,7,5,,,,,,,,,,,,,,,,,,
Chiedozie Ogbene,ie IRL,FW,Ipswich Town,eng Premier League,27-272,1997,0,0,1,6,0.1,7,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Chris Wood,nz NZL,FW,Nott'ham Forest,eng Premier League,33-052,1991,4,0.2,62,82,8,9,3,21,0,64,5,0,,,,,,,,,,,,,,,,,,
Christopher Nkunku,fr FRA,FW,Chelsea,eng Premier League,27-075,1997,2,0.42,9,11,5.6,16,6,6,0,15,2,2,,,,,,,,,,,,,,,,,,
Cody Gakpo,nl NED,FW,Liverpool,eng Premier League,25-266,1999,5,0.37,12,13,8.8,41,24,16,0,41,8,0,,,,,,,,,,,,,,,,,,
Cristhian Stuani,uy URU,FW,Girona,es La Liga,38-108,1986,2,0.5,7,6,3.4,4,2,7,0,14,4,0,,,,,,,,,,,,,,,,,,
Cyle Larin,ca CAN,FW,Mallorca,es La Liga,29-286,1995,3,0.24,36,58,5.3,16,2,10,0,24,5,3,,,,,,,,,,,,,,,,,,
Dan Ndoye,ch SUI,FW,Bologna,it Serie A,24-095,2000,7,0.57,4,5,3.8,51,19,8,0,27,3,3,,,,,,,,,,,,,,,,,,
Dango Ouattara,bf BFA,FW,Bournemouth,eng Premier League,22-352,2002,6,0.47,27,35,9.5,45,22,13,0,36,6,2,,,,,,,,,,,,,,,,,,
Dani Gómez,es ESP,FW,Valencia,es La Liga,26-182,1998,0,0,7,24,2.7,10,3,6,0,14,2,3,,,,,,,,,,,,,,,,,,
Daniel Yáñez,es ESP,FW,Real Madrid,es La Liga,17-306,2007,0,0,0,0,0,0,0,7,0,18,1,0,,,,,,,,,,,,,,,,,,
Danny Welbeck,eng ENG,FW,Brighton,eng Premier League,34-063,1990,4,0.28,12,12,6.4,24,8,12,0,37,4,6,,,,,,,,,,,,,,,,,,
Darwin Núñez,uy URU,FW,Liverpool,eng Premier League,25-218,1999,3,0.33,11,25,4.3,15,8,10,0,25,4,0,,,,,,,,,,,,,,,,,,
David Brooks,wls WAL,FW,Bournemouth,eng Premier League,27-204,1997,1,0.18,4,8,3.1,21,8,9,0,18,2,1,,,,,,,,,,,,,,,,,,
David Mokwa,fr FRA,FW,Hoffenheim,de Bundesliga,20-270,2004,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
David Neres,br BRA,FW,Napoli,it Serie A,27-331,1997,9,0.99,0,4,4.2,55,27,4,0,23,2,2,,,,,,,,,,,,,,,,,,
Diego Pugno,it ITA,FW,Juventus,it Serie A,18-205,2006,0,0,0,2,0.1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Diogo Jota,pt POR,FW,Liverpool,eng Premier League,28-055,1996,4,0.57,16,20,6,21,8,10,0,25,5,3,,,,,,,,,,,,,,,,,,
Divin Mubama,eng ENG,FW,Manchester City,eng Premier League,20-095,2004,0,0,0,1,0,0,0,0,0,1,0,6,,,,,,,,,,,,,,,,,,
Djylian N'Guessan,fr FRA,FW,Saint-Étienne,fr Ligue 1,16-151,2008,0,0,1,3,0.3,4,1,0,0,2,0,3,,,,,,,,,,,,,,,,,,
Dodi Lukebakio,be BEL,FW,Sevilla,es La Liga,27-126,1997,4,0.21,11,8,7.5,120,60,26,1,56,9,2,,,,,,,,,,,,,,,,,,
Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,27-318,1997,4,0.23,83,79,6.7,25,10,17,0,46,3,0,,,,,,,,,,,,,,,,,,
Dominic Solanke,eng ENG,FW,Tottenham,eng Premier League,27-136,1997,7,0.39,33,43,11,42,14,19,0,46,7,3,,,,,,,,,,,,,,,,,,
Donyell Malen,nl NED,FW,Aston Villa,eng Premier League,26-019,1999,0,0,1,0,0,2,0,1,0,1,0,4,,,,,,,,,,,,,,,,,,
Dušan Vlahović,rs SRB,FW,Juventus,it Serie A,25-000,2000,1,0.07,26,31,7.4,17,4,9,0,16,3,1,,,,,,,,,,,,,,,,,,
Duván Zapata,co COL,FW,Torino,it Serie A,33-302,1991,1,0.15,20,28,3.9,9,1,2,0,6,0,1,,,,,,,,,,,,,,,,,,
Elye Wahi,fr FRA,FW,Marseille,fr Ligue 1,22-026,2003,4,0.63,4,13,5.6,10,2,24,0,57,10,2,,,,,,,,,,,,,,,,,,
Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,21-360,2003,3,0.24,14,14,10.6,16,6,22,0,30,8,1,,,,,,,,,,,,,,,,,,
Endrick,br BRA,FW,Real Madrid,es La Liga,18-191,2006,2,1.75,2,4,0.8,6,2,4,0,11,1,2,,,,,,,,,,,,,,,,,,
Erling Haaland,no NOR,FW,Manchester City,eng Premier League,24-191,2000,6,0.27,40,33,18.3,25,10,49,1,89,18,2,,,,,,,,,,,,,,,,,,
Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,26-309,1998,3,0.24,21,26,6.6,18,3,13,0,37,8,0,,,,,,,,,,,,,,,,,,
Esteban Lepaul,fr FRA,FW,Angers,fr Ligue 1,24-285,2000,1,0.16,13,21,2.9,6,1,8,0,14,5,0,,,,,,,,,,,,,,,,,,
Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,20-101,2004,0,0,4,7,1,1,1,2,1,7,1,1,,,,,,,,,,,,,,,,,,
Evanilson,br BRA,FW,Bournemouth,eng Premier League,25-114,1999,7,0.46,26,46,6.9,19,6,20,0,42,5,0,,,,,,,,,,,,,,,,,,
Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,30-357,1994,3,0.47,4,7,2.5,9,4,10,0,20,2,0,,,,,,,,,,,,,,,,,,
Fábio Silva,pt POR,FW,Las Palmas,es La Liga,22-193,2002,3,0.22,36,29,4.6,33,11,15,0,33,6,1,,,,,,,,,,,,,,,,,,
Farid El Melali,dz ALG,FW,Angers,fr Ligue 1,27-268,1997,8,0.59,4,14,4.3,84,45,9,5,27,1,0,,,,,,,,,,,,,,,,,,
Faris Pemi Moumbagna,cm CMR,FW,Marseille,fr Ligue 1,24-211,2000,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,27-095,1997,1,3.21,0,0,0.2,1,0,1,0,2,0,0,,,,,,,,,,,,,,,,,,
Fer López,,FW,Celta Vigo,es La Liga,,,0,0,0,1,0.1,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,
Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,28-009,1997,1,0.27,10,17,0.5,2,2,1,0,5,0,2,,,,,,,,,,,,,,,,,,
Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,23-209,2001,2,0.38,1,11,4.7,9,3,6,0,23,3,0,,,,,,,,,,,,,,,,,,
Francesco Caputo,it ITA,FW,Empoli,it Serie A,37-175,1987,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Francisco Conceição,pt POR,FW,Juventus,it Serie A,22-045,2002,7,0.74,0,6,4.5,56,28,6,0,21,1,1,,,,,,,,,,,,,,,,,,
Franck Honorat,fr FRA,FW,Gladbach,de Bundesliga,28-170,1996,5,0.46,4,7,7,19,7,5,0,20,2,6,,,,,,,,,,,,,,,,,,
Gabin Capuano,fr FRA,FW,Lens,fr Ligue 1,18-277,2006,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
Gabriel Charpentier,cg CGO,FW,Parma,it Serie A,25-256,1999,3,0.99,9,14,2.3,6,2,4,0,9,1,2,,,,,,,,,,,,,,,,,,
Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,27-300,1997,4,0.59,9,18,3.7,22,9,7,0,20,3,0,,,,,,,,,,,,,,,,,,
Gaëtan Laborde,fr FRA,FW,Nice,fr Ligue 1,30-270,1994,4,0.51,20,20,5,13,5,10,0,30,6,0,,,,,,,,,,,,,,,,,,
George Hirst,eng ENG,FW,Ipswich Town,eng Premier League,25-348,1999,2,0.83,13,7,1.2,1,0,3,0,4,1,0,,,,,,,,,,,,,,,,,,
George Ilenikhena,fr FRA,FW,Monaco,fr Ligue 1,18-165,2006,3,0.49,13,14,4.5,13,2,3,0,13,1,0,,,,,,,,,,,,,,,,,,
